,state,city,cases,death,st_date,end_date,location,lat,lon,week,year,maxt,mint,soil,rain,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,Arunachal Pradesh,Papum Pare,544,0,03-09-2012 00:00,03-09-2012 00:00, Goimukh Kimin Naharlagun,27.109086,93.697239,36,2012,33.91714287,24.11571421,58.24044876,0,79.90465437,24.11571421,22.1661629,22.05512207,21.9741022,21.89806535,21.78474478,22.01694315,22.2629977,22.46309138,22.57480401,0,16.25271889,16.60614286,16.64773399,15.88872449,16.23571429,16.23571429,16.23571429,16.77554945,17.30257143,33.91714287,31.57613197,31.4715189,31.43565261,31.42557153,31.32079195,31.40783205,31.47742002,31.55202689,31.5661783,58.24044876,61.04527249,60.96666102,60.62574825,59.83898166,60.06003356,61.12970715,61.97481982,62.62222192,63.30864295,79.90465437,88.17166792,88.08985459,88.19154196,88.06619245,87.97346864,88.16389965,88.42500784,88.81047027,89.02543215
2,Arunachal Pradesh,East Kameng,31,1,03-09-2012 00:00,, East Kameng,27.4231261,93.0175712,37,2012,30.362857,23.63428579,83.7715559,0,95.42099108,23.63428579,24.11571421,22.05512207,21.9741022,21.89806535,21.78474478,22.01694315,22.2629977,22.46309138,22.57480401,0,0,16.60614286,16.64773399,15.88872449,16.23571429,16.23571429,16.23571429,16.77554945,17.30257143,30.362857,33.91714287,31.4715189,31.43565261,31.42557153,31.32079195,31.40783205,31.47742002,31.55202689,31.5661783,83.7715559,58.24044876,60.96666102,60.62574825,59.83898166,60.06003356,61.12970715,61.97481982,62.62222192,63.30864295,95.42099108,79.90465437,88.08985459,88.19154196,88.06619245,87.97346864,88.16389965,88.42500784,88.81047027,89.02543215
3,Arunachal Pradesh,Upper Siang,278,0,15-09-2012 00:00,16-09-2012 00:00, Siang,28.7588781,95.2266675,38,2012,31.6301,22.2294,97.39886093,0,97.1785202,22.2294,23.63428579,24.11571421,21.9741022,21.89806535,21.78474478,22.01694315,22.2629977,22.46309138,22.57480401,0,0,0,16.64773399,15.88872449,16.23571429,16.23571429,16.23571429,16.77554945,17.30257143,31.6301,30.362857,33.91714287,31.43565261,31.42557153,31.32079195,31.40783205,31.47742002,31.55202689,31.5661783,97.39886093,83.7715559,58.24044876,60.62574825,59.83898166,60.06003356,61.12970715,61.97481982,62.62222192,63.30864295,97.1785202,95.42099108,79.90465437,88.19154196,88.06619245,87.97346864,88.16389965,88.42500784,88.81047027,89.02543215
4,Arunachal Pradesh,West Siang,363,0,15-09-2012 00:00,15-09-2012 00:00,West  Siang,28.147254,94.7484518,38,2012,28.6771431,22.89714268,93.68559519,0,97.62215968,22.89714268,22.2294,23.63428579,24.11571421,21.89806535,21.78474478,22.01694315,22.2629977,22.46309138,22.57480401,0,0,0,0,15.88872449,16.23571429,16.23571429,16.23571429,16.77554945,17.30257143,28.6771431,31.6301,30.362857,33.91714287,31.42557153,31.32079195,31.40783205,31.47742002,31.55202689,31.5661783,93.68559519,97.39886093,83.7715559,58.24044876,59.83898166,60.06003356,61.12970715,61.97481982,62.62222192,63.30864295,97.62215968,97.1785202,95.42099108,79.90465437,88.06619245,87.97346864,88.16389965,88.42500784,88.81047027,89.02543215
5,Arunachal Pradesh,East Siang,8,2,28-10-2013 00:00,28-10-2013 00:00,"Nari,  District East Siang",27.945106,95.143478,44,2013,27.49857112,16.81000001,41.76402283,7.8,86.51899719,16.81000001,22.89714268,22.2294,23.63428579,24.11571421,21.78474478,22.01694315,22.2629977,22.46309138,22.57480401,7.8,0,0,0,0,16.23571429,16.23571429,16.23571429,16.77554945,17.30257143,27.49857112,28.6771431,31.6301,30.362857,33.91714287,31.32079195,31.40783205,31.47742002,31.55202689,31.5661783,41.76402283,93.68559519,97.39886093,83.7715559,58.24044876,60.06003356,61.12970715,61.97481982,62.62222192,63.30864295,86.51899719,97.62215968,97.1785202,95.42099108,79.90465437,87.97346864,88.16389965,88.42500784,88.81047027,89.02543215
6,Arunchal Pradesh,East Siang,15,0,01-12-2014 00:00,04-12-2014 00:00, Pasighat,28.0631741,95.3239197,50,2014,25.65000016,12.69857134,11.76310868,4.45,81.75113569,12.69857134,16.81000001,22.89714268,22.2294,23.63428579,24.11571421,22.01694315,22.2629977,22.46309138,22.57480401,4.45,7.8,0,0,0,0,16.23571429,16.23571429,16.77554945,17.30257143,25.65000016,27.49857112,28.6771431,31.6301,30.362857,33.91714287,31.40783205,31.47742002,31.55202689,31.5661783,11.76310868,41.76402283,93.68559519,97.39886093,83.7715559,58.24044876,61.12970715,61.97481982,62.62222192,63.30864295,81.75113569,86.51899719,97.62215968,97.1785202,95.42099108,79.90465437,88.16389965,88.42500784,88.81047027,89.02543215
7,Arunchal Pradesh,East Siang,22,0,01-12-2014 00:00,,"Pasighat, East  Siang",28.0631741,95.3239197,50,2014,25.65000016,12.69857134,11.76310868,4.45,81.75113569,12.69857134,12.69857134,16.81000001,22.89714268,22.2294,23.63428579,24.11571421,22.2629977,22.46309138,22.57480401,4.45,4.45,7.8,0,0,0,0,16.23571429,16.77554945,17.30257143,25.65000016,25.65000016,27.49857112,28.6771431,31.6301,30.362857,33.91714287,31.47742002,31.55202689,31.5661783,11.76310868,11.76310868,41.76402283,93.68559519,97.39886093,83.7715559,58.24044876,61.97481982,62.62222192,63.30864295,81.75113569,81.75113569,86.51899719,97.62215968,97.1785202,95.42099108,79.90465437,88.42500784,88.81047027,89.02543215
8,Arunchal Pradesh,East Siang,27,0,01-12-2014 00:00,,"Pasighat, East Siang",28.0631741,95.3239197,2,2015,25.61571421,9.759999956,0.208898823,0,76.21540615,9.759999956,12.69857134,12.69857134,16.81000001,22.89714268,22.2294,23.63428579,24.11571421,22.46309138,22.57480401,0,4.45,4.45,7.8,0,0,0,0,16.77554945,17.30257143,25.61571421,25.65000016,25.65000016,27.49857112,28.6771431,31.6301,30.362857,33.91714287,31.55202689,31.5661783,0.208898823,11.76310868,11.76310868,41.76402283,93.68559519,97.39886093,83.7715559,58.24044876,62.62222192,63.30864295,76.21540615,81.75113569,81.75113569,86.51899719,97.62215968,97.1785202,95.42099108,79.90465437,88.81047027,89.02543215
9,Arunachal Pradesh,East Siang,68,0,08-06-2015 00:00,,"Pasighat  township,  District  East Siang",28.0631741,95.3239197,25,2015,33.54857145,24.36571421,64.12324429,12.51428571,88.79413496,24.36571421,9.759999956,12.69857134,12.69857134,16.81000001,22.89714268,22.2294,23.63428579,24.11571421,22.57480401,12.51428571,0,4.45,4.45,7.8,0,0,0,0,17.30257143,33.54857145,25.61571421,25.65000016,25.65000016,27.49857112,28.6771431,31.6301,30.362857,33.91714287,31.5661783,64.12324429,0.208898823,11.76310868,11.76310868,41.76402283,93.68559519,97.39886093,83.7715559,58.24044876,63.30864295,88.79413496,76.21540615,81.75113569,81.75113569,86.51899719,97.62215968,97.1785202,95.42099108,79.90465437,89.02543215
10,Arunachal Pradesh,East Siang,473,0,04-06-2015 00:00,, Pasighat,28.0631741,95.3239197,29,2015,33.00428554,24.62857165,48.52060318,6.6,85.05518559,24.62857165,24.36571421,9.759999956,12.69857134,12.69857134,16.81000001,22.89714268,22.2294,23.63428579,24.11571421,6.6,12.51428571,0,4.45,4.45,7.8,0,0,0,0,33.00428554,33.54857145,25.61571421,25.65000016,25.65000016,27.49857112,28.6771431,31.6301,30.362857,33.91714287,48.52060318,64.12324429,0.208898823,11.76310868,11.76310868,41.76402283,93.68559519,97.39886093,83.7715559,58.24044876,85.05518559,88.79413496,76.21540615,81.75113569,81.75113569,86.51899719,97.62215968,97.1785202,95.42099108,79.90465437
