,state,city,cases,death,st_date,end_date,location,lat,lon,week,year,maxt,mint,soil,rain,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,Assam,Dibrugarh,3,0,22-09-2010 00:00,,Dibrugarh,27.4728327,94.9119621,42,2010,31.33428628,23.07857159,71.37214661,1.716666667,89.10967037,23.07857159,20.18982147,20.01705073,20.37842862,20.25428578,20.10025517,20.18613764,20.26049458,20.24148578,20.10720243,1.716666667,10.4241619,10.15641865,10.52408903,10.41079004,10.21606576,10.45686905,10.6668797,9.963187831,9.521022409,31.33428628,30.22633926,30.06142855,30.2428095,30.16684726,30.08413263,30.12375659,30.25802195,30.31725712,30.31773806,71.37214661,62.581214,63.19423401,63.97606283,63.47511555,63.44391083,63.24209265,62.15971003,61.23846736,60.19522871,89.10967037,82.27980137,82.13624379,82.00758075,81.91329565,81.59174787,81.64569314,81.48345461,81.3369492,81.05294414
2,Assam,sonitpur,9,0,26-10-2010 00:00,,"Gutlong and Bapubheti, Balipara , Solmara",26.8249388,92.7747298,46,2010,27.46571405,16.89428575,47.38371849,0,79.15866089,16.89428575,23.07857159,20.01705073,20.37842862,20.25428578,20.10025517,20.18613764,20.26049458,20.24148578,20.10720243,0,1.716666667,10.15641865,10.52408903,10.41079004,10.21606576,10.45686905,10.6668797,9.963187831,9.521022409,27.46571405,31.33428628,30.06142855,30.2428095,30.16684726,30.08413263,30.12375659,30.25802195,30.31725712,30.31773806,47.38371849,71.37214661,63.19423401,63.97606283,63.47511555,63.44391083,63.24209265,62.15971003,61.23846736,60.19522871,79.15866089,89.10967037,82.13624379,82.00758075,81.91329565,81.59174787,81.64569314,81.48345461,81.3369492,81.05294414
3,Assam,Sonitpur,30,0,13-10-2012 00:00,,"Balipara,  Rangapara  and  Bihaguri,  District Sonitpur",26.7034421,92.7048195,43,2012,30.12142835,17.59857178,56.34419918,0,72.25742231,17.59857178,16.89428575,23.07857159,20.37842862,20.25428578,20.10025517,20.18613764,20.26049458,20.24148578,20.10720243,0,0,1.716666667,10.52408903,10.41079004,10.21606576,10.45686905,10.6668797,9.963187831,9.521022409,30.12142835,27.46571405,31.33428628,30.2428095,30.16684726,30.08413263,30.12375659,30.25802195,30.31725712,30.31773806,56.34419918,47.38371849,71.37214661,63.97606283,63.47511555,63.44391083,63.24209265,62.15971003,61.23846736,60.19522871,72.25742231,79.15866089,89.10967037,82.00758075,81.91329565,81.59174787,81.64569314,81.48345461,81.3369492,81.05294414
4,Assam,Bongaigaon,27,1,10-10-2012 00:00,,Bongaigaon,26.5030072,90.5535724,45,2012,25.08857128,14.25999996,54.82160568,0,71.09672982,14.25999996,17.59857178,16.89428575,23.07857159,20.25428578,20.10025517,20.18613764,20.26049458,20.24148578,20.10720243,0,0,0,1.716666667,10.41079004,10.21606576,10.45686905,10.6668797,9.963187831,9.521022409,25.08857128,30.12142835,27.46571405,31.33428628,30.16684726,30.08413263,30.12375659,30.25802195,30.31725712,30.31773806,54.82160568,56.34419918,47.38371849,71.37214661,63.47511555,63.44391083,63.24209265,62.15971003,61.23846736,60.19522871,71.09672982,72.25742231,79.15866089,89.10967037,81.91329565,81.59174787,81.64569314,81.48345461,81.3369492,81.05294414
5,Assam,Dhemaji,11,0,22-10-2012 00:00,,"Goganukh,  PHC  Sissiborgaon",27.5746761,94.6887726,47,2012,29.60285732,13.66857147,34.90684128,0,75.38394383,13.66857147,14.25999996,17.59857178,16.89428575,23.07857159,20.10025517,20.18613764,20.26049458,20.24148578,20.10720243,0,0,0,0,1.716666667,10.21606576,10.45686905,10.6668797,9.963187831,9.521022409,29.60285732,25.08857128,30.12142835,27.46571405,31.33428628,30.08413263,30.12375659,30.25802195,30.31725712,30.31773806,34.90684128,54.82160568,56.34419918,47.38371849,71.37214661,63.44391083,63.24209265,62.15971003,61.23846736,60.19522871,75.38394383,71.09672982,72.25742231,79.15866089,89.10967037,81.59174787,81.64569314,81.48345461,81.3369492,81.05294414
6,Assam,Sonitpur,224,0,13-10-2012 00:00,,"Balipara,  Rangapara  and  Bihaguri,  District Sonitpur",26.7034421,92.7048195,47,2012,28.65714291,13.47857135,44.69397831,0,66.9058936,13.47857135,13.66857147,14.25999996,17.59857178,16.89428575,23.07857159,20.18613764,20.26049458,20.24148578,20.10720243,0,0,0,0,0,1.716666667,10.45686905,10.6668797,9.963187831,9.521022409,28.65714291,29.60285732,25.08857128,30.12142835,27.46571405,31.33428628,30.12375659,30.25802195,30.31725712,30.31773806,44.69397831,34.90684128,54.82160568,56.34419918,47.38371849,71.37214661,63.24209265,62.15971003,61.23846736,60.19522871,66.9058936,75.38394383,71.09672982,72.25742231,79.15866089,89.10967037,81.64569314,81.48345461,81.3369492,81.05294414
7,Assam,Sonitpur,235,0,13-10-2012 00:00,,"Balipara,   Sonitpur",26.8256582,92.775492,49,2012,26.37571444,11.57571411,38.81197357,0,76.55396162,11.57571411,13.47857135,13.66857147,14.25999996,17.59857178,16.89428575,23.07857159,20.26049458,20.24148578,20.10720243,0,0,0,0,0,0,1.716666667,10.6668797,9.963187831,9.521022409,26.37571444,28.65714291,29.60285732,25.08857128,30.12142835,27.46571405,31.33428628,30.25802195,30.31725712,30.31773806,38.81197357,44.69397831,34.90684128,54.82160568,56.34419918,47.38371849,71.37214661,62.15971003,61.23846736,60.19522871,76.55396162,66.9058936,75.38394383,71.09672982,72.25742231,79.15866089,89.10967037,81.48345461,81.3369492,81.05294414
8,Assam,Kamrup M,130,0,26-07-2013 00:00,,"Hatigarh (East Zone), Lakhiminagar",26.1389692,91.7824835,34,2013,33.07571438,24.46428599,41.17742872,1.9,84.86905779,24.46428599,11.57571411,13.47857135,13.66857147,14.25999996,17.59857178,16.89428575,23.07857159,20.24148578,20.10720243,1.9,0,0,0,0,0,0,1.716666667,9.963187831,9.521022409,33.07571438,26.37571444,28.65714291,29.60285732,25.08857128,30.12142835,27.46571405,31.33428628,30.31725712,30.31773806,41.17742872,38.81197357,44.69397831,34.90684128,54.82160568,56.34419918,47.38371849,71.37214661,61.23846736,60.19522871,84.86905779,76.55396162,66.9058936,75.38394383,71.09672982,72.25742231,79.15866089,89.10967037,81.3369492,81.05294414
9,Assam,Kamrup,21,0,19-07-2015 00:00,,"Guwahati City,Kamrup",26.1445169,91.7362365,35,2015,29.28999983,23.95571436,64.66886559,16.15714286,93.39691925,23.95571436,24.46428599,11.57571411,13.47857135,13.66857147,14.25999996,17.59857178,16.89428575,23.07857159,20.10720243,16.15714286,1.9,0,0,0,0,0,0,1.716666667,9.521022409,29.28999983,33.07571438,26.37571444,28.65714291,29.60285732,25.08857128,30.12142835,27.46571405,31.33428628,30.31773806,64.66886559,41.17742872,38.81197357,44.69397831,34.90684128,54.82160568,56.34419918,47.38371849,71.37214661,60.19522871,93.39691925,84.86905779,76.55396162,66.9058936,75.38394383,71.09672982,72.25742231,79.15866089,89.10967037,81.05294414
10,Assam,Kamrup,153,0,19-07-2015 00:00,,Guwahati City,26.1445169,91.7362365,37,2015,32.07857132,24.0971429,78.18504429,5.866666667,86.00461687,24.0971429,23.95571436,24.46428599,11.57571411,13.47857135,13.66857147,14.25999996,17.59857178,16.89428575,23.07857159,5.866666667,16.15714286,1.9,0,0,0,0,0,0,1.716666667,32.07857132,29.28999983,33.07571438,26.37571444,28.65714291,29.60285732,25.08857128,30.12142835,27.46571405,31.33428628,78.18504429,64.66886559,41.17742872,38.81197357,44.69397831,34.90684128,54.82160568,56.34419918,47.38371849,71.37214661,86.00461687,93.39691925,84.86905779,76.55396162,66.9058936,75.38394383,71.09672982,72.25742231,79.15866089,89.10967037
