,id,SL,state,city,cases,death,st_date,end_date,location,lat,lon,week,year,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,198,198,Madhya Pradesh,Mandla,195,2,11-06-2013 00:00,12-06-2013 00:00," Bakori, Bamhani",22.4770863,80.3686488,24,2013,32.07714244,23.82999992,15.34285714,56.05648327,83.24905832,23.82999992,21.25527468,21.44611423,21.26648803,21.08335398,21.00629862,20.88959175,21.25807133,21.27879688,21.06293639,15.34285714,10.2241342,10.2241342,10.02654762,10.02654762,10.86283069,9.420684523,9.420684523,10.53316326,11.32202381,32.07714244,33.65791208,33.70405716,33.73255953,33.66242238,33.81545457,33.97414969,34.08878573,34.16849628,34.08246036,56.05648327,49.08218728,49.36120029,47.66645111,47.73728741,46.42406261,45.34984017,45.91053544,46.13976148,45.61802246,83.24905832,60.68295911,61.21924935,60.13195842,59.52328491,58.7871072,57.85435486,58.22333478,58.0455912,57.36454561
2,288,288,Madhya Pradesh,Khandwa,24,0,26-07-2013 00:00,31-07-2013 00:00,"Singaji  Thermal  power Plant  Mundi,  ",22.1005829,76.5317675,31,2013,27.47285734,22.11428533,19,90.90968323,86.74733189,22.11428533,23.82999992,21.44611423,21.26648803,21.08335398,21.00629862,20.88959175,21.25807133,21.27879688,21.06293639,19,15.34285714,10.2241342,10.02654762,10.02654762,10.86283069,9.420684523,9.420684523,10.53316326,11.32202381,27.47285734,32.07714244,33.70405716,33.73255953,33.66242238,33.81545457,33.97414969,34.08878573,34.16849628,34.08246036,90.90968323,56.05648327,49.36120029,47.66645111,47.73728741,46.42406261,45.34984017,45.91053544,46.13976148,45.61802246,86.74733189,83.24905832,61.21924935,60.13195842,59.52328491,58.7871072,57.85435486,58.22333478,58.0455912,57.36454561
3,20,20,Madhya Pradesh,Burhanpur,40,0,14-01-2014 00:00,15-01-2014 00:00,"Khani,Fofnar",21.3145021,76.2180095,3,2014,28.2357145,14.11285727,0,20.06382688,58.16065107,14.11285727,22.11428533,23.82999992,21.26648803,21.08335398,21.00629862,20.88959175,21.25807133,21.27879688,21.06293639,0,19,15.34285714,10.02654762,10.02654762,10.86283069,9.420684523,9.420684523,10.53316326,11.32202381,28.2357145,27.47285734,32.07714244,33.73255953,33.66242238,33.81545457,33.97414969,34.08878573,34.16849628,34.08246036,20.06382688,90.90968323,56.05648327,47.66645111,47.73728741,46.42406261,45.34984017,45.91053544,46.13976148,45.61802246,58.16065107,86.74733189,83.24905832,60.13195842,59.52328491,58.7871072,57.85435486,58.22333478,58.0455912,57.36454561
4,98,98,Madhya Pradesh,Narsinghpur,63,0,18-04-2014 00:00,,"Kanhargaon,Salichoka",22.8323348,78.6749352,17,2014,40.1699998,21.51285689,0,13.62824981,26.0762419,21.51285689,14.11285727,22.11428533,23.82999992,21.08335398,21.00629862,20.88959175,21.25807133,21.27879688,21.06293639,0,0,19,15.34285714,10.02654762,10.86283069,9.420684523,9.420684523,10.53316326,11.32202381,40.1699998,28.2357145,27.47285734,32.07714244,33.66242238,33.81545457,33.97414969,34.08878573,34.16849628,34.08246036,13.62824981,20.06382688,90.90968323,56.05648327,47.73728741,46.42406261,45.34984017,45.91053544,46.13976148,45.61802246,26.0762419,58.16065107,86.74733189,83.24905832,59.52328491,58.7871072,57.85435486,58.22333478,58.0455912,57.36454561
5,145,145,Madhya Pradesh,Mandla,50,0,12-05-2014 00:00,18-05-2014 00:00,"Tikritola, Bamhani",22.4759338,80.3666572,20,2014,39.96857125,23.76999964,0,7.419832548,32.60423388,23.76999964,21.51285689,14.11285727,22.11428533,23.82999992,21.00629862,20.88959175,21.25807133,21.27879688,21.06293639,0,0,0,19,15.34285714,10.86283069,9.420684523,9.420684523,10.53316326,11.32202381,39.96857125,40.1699998,28.2357145,27.47285734,32.07714244,33.81545457,33.97414969,34.08878573,34.16849628,34.08246036,7.419832548,13.62824981,20.06382688,90.90968323,56.05648327,46.42406261,45.34984017,45.91053544,46.13976148,45.61802246,32.60423388,26.0762419,58.16065107,86.74733189,83.24905832,58.7871072,57.85435486,58.22333478,58.0455912,57.36454561
6,421,421,Madhya Pradesh,Shivpuri,212,5,01-09-2014 00:00,," Jhanda, Narwar,  Shivpuri",25.6526369,78.2048878,36,2014,32.79000037,24.49285671,11.01428571,89.05007477,81.20696041,24.49285671,23.76999964,21.51285689,14.11285727,22.11428533,23.82999992,20.88959175,21.25807133,21.27879688,21.06293639,11.01428571,0,0,0,19,15.34285714,9.420684523,9.420684523,10.53316326,11.32202381,32.79000037,39.96857125,40.1699998,28.2357145,27.47285734,32.07714244,33.97414969,34.08878573,34.16849628,34.08246036,89.05007477,7.419832548,13.62824981,20.06382688,90.90968323,56.05648327,45.34984017,45.91053544,46.13976148,45.61802246,81.20696041,32.60423388,26.0762419,58.16065107,86.74733189,83.24905832,57.85435486,58.22333478,58.0455912,57.36454561
7,714,714,Madhya Pradesh,Khandwa,10,0,22-11-2014 00:00,23-11-2014 00:00,"Bhavsinghpura,  PHC Jawar",21.6954033,76.1406925,47,2014,31.57571438,15.91857134,0,36.93718529,52.85062082,15.91857134,24.49285671,23.76999964,21.51285689,14.11285727,22.11428533,23.82999992,21.25807133,21.27879688,21.06293639,0,11.01428571,0,0,0,19,15.34285714,9.420684523,10.53316326,11.32202381,31.57571438,32.79000037,39.96857125,40.1699998,28.2357145,27.47285734,32.07714244,34.08878573,34.16849628,34.08246036,36.93718529,89.05007477,7.419832548,13.62824981,20.06382688,90.90968323,56.05648327,45.91053544,46.13976148,45.61802246,52.85062082,81.20696041,32.60423388,26.0762419,58.16065107,86.74733189,83.24905832,58.22333478,58.0455912,57.36454561
8,715,715,Madhya Pradesh,Ahmednagar,55,0,12-11-2014 00:00,21-11-2014 00:00,"Ghogargaon,   SC Belipimpalgaon",19.6303294,74.830488,47,2014,31.39857129,15.14285742,0.6,38.14683469,58.53495843,15.14285742,15.91857134,24.49285671,23.76999964,21.51285689,14.11285727,22.11428533,23.82999992,21.27879688,21.06293639,0.6,0,11.01428571,0,0,0,19,15.34285714,10.53316326,11.32202381,31.39857129,31.57571438,32.79000037,39.96857125,40.1699998,28.2357145,27.47285734,32.07714244,34.16849628,34.08246036,38.14683469,36.93718529,89.05007477,7.419832548,13.62824981,20.06382688,90.90968323,56.05648327,46.13976148,45.61802246,58.53495843,52.85062082,81.20696041,32.60423388,26.0762419,58.16065107,86.74733189,83.24905832,58.0455912,57.36454561
9,429,429,Madhya Pradesh,Shivpuri,15,0,01-09-2015 00:00,,Shivpuri,25.4320478,77.6643815,36,2015,36.52857154,24.43857138,0,59.31964416,52.12882124,24.43857138,15.14285742,15.91857134,24.49285671,23.76999964,21.51285689,14.11285727,22.11428533,23.82999992,21.06293639,0,0.6,0,11.01428571,0,0,0,19,15.34285714,11.32202381,36.52857154,31.39857129,31.57571438,32.79000037,39.96857125,40.1699998,28.2357145,27.47285734,32.07714244,34.08246036,59.31964416,38.14683469,36.93718529,89.05007477,7.419832548,13.62824981,20.06382688,90.90968323,56.05648327,45.61802246,52.12882124,58.53495843,52.85062082,81.20696041,32.60423388,26.0762419,58.16065107,86.74733189,83.24905832,57.36454561
10,469,469,Madhya Pradesh,Shivpuri,30,0,01-09-2015 00:00,,Shivpuri,25.4320478,77.6643815,37,2015,37.23428508,24.83714294,0,51.40470982,59.20011302,24.83714294,24.43857138,15.14285742,15.91857134,24.49285671,23.76999964,21.51285689,14.11285727,22.11428533,23.82999992,0,0,0.6,0,11.01428571,0,0,0,19,15.34285714,37.23428508,36.52857154,31.39857129,31.57571438,32.79000037,39.96857125,40.1699998,28.2357145,27.47285734,32.07714244,51.40470982,59.31964416,38.14683469,36.93718529,89.05007477,7.419832548,13.62824981,20.06382688,90.90968323,56.05648327,59.20011302,52.12882124,58.53495843,52.85062082,81.20696041,32.60423388,26.0762419,58.16065107,86.74733189,83.24905832
