,city,st_date,week,year,cases,lat,lon,maxt,mint,rain,soil,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,Tamil Nadu,28-01-2010 00:00,6,2010,38,9.426053,78.2060272,31.17142868,20.38285664,0.966666667,7.059418399,68.0839495,20.38285664,23.02337777,23.02415181,23.02112888,23.01706531,23.01761604,23.01032254,23.00159892,22.99330819,22.99042378,0.966666667,6.463152174,6.382043796,6.411323529,6.458074074,6.491492537,6.492180451,6.48,6.398931298,6.351230769,31.17142868,32.89613744,32.90992527,32.91087249,32.91317127,32.92604451,32.93536106,32.93569625,32.9360128,32.9427575,7.059418399,28.8209604,28.6075119,28.54440983,28.65036505,28.40530863,28.17464654,27.9417238,27.78550624,27.81501975,68.0839495,67.06182334,66.96357087,66.95537146,66.99568391,66.89986352,66.77613657,66.6688404,66.57870191,66.61207915
2,Tamil Nadu,24-07-2010 00:00,30,2010,9,12.2163546,79.0598685,32.50714302,22.65571458,0,32.31162644,54.94101824,22.65571458,20.38285664,23.02415181,23.02112888,23.01706531,23.01761604,23.01032254,23.00159892,22.99330819,22.99042378,0,0.966666667,6.382043796,6.411323529,6.458074074,6.491492537,6.492180451,6.48,6.398931298,6.351230769,32.50714302,31.17142868,32.90992527,32.91087249,32.91317127,32.92604451,32.93536106,32.93569625,32.9360128,32.9427575,32.31162644,7.059418399,28.6075119,28.54440983,28.65036505,28.40530863,28.17464654,27.9417238,27.78550624,27.81501975,54.94101824,68.0839495,66.96357087,66.95537146,66.99568391,66.89986352,66.77613657,66.6688404,66.57870191,66.61207915
3,Tamil Nadu,25-07-2010 00:00,32,2010,9,10.4079812,78.0395149,32.12571444,22.38857106,0,4.324714666,51.27574594,22.38857106,22.65571458,20.38285664,23.02112888,23.01706531,23.01761604,23.01032254,23.00159892,22.99330819,22.99042378,0,0,0.966666667,6.411323529,6.458074074,6.491492537,6.492180451,6.48,6.398931298,6.351230769,32.12571444,32.50714302,31.17142868,32.91087249,32.91317127,32.92604451,32.93536106,32.93569625,32.9360128,32.9427575,4.324714666,32.31162644,7.059418399,28.54440983,28.65036505,28.40530863,28.17464654,27.9417238,27.78550624,27.81501975,51.27574594,54.94101824,68.0839495,66.95537146,66.99568391,66.89986352,66.77613657,66.6688404,66.57870191,66.61207915
4,Tamil Nadu,27-07-2010 00:00,32,2010,21,11.1748295,77.4354367,30.59000015,21.12285723,0,28.09428063,59.68794904,21.12285723,22.38857106,22.65571458,20.38285664,23.01706531,23.01761604,23.01032254,23.00159892,22.99330819,22.99042378,0,0,0,0.966666667,6.458074074,6.491492537,6.492180451,6.48,6.398931298,6.351230769,30.59000015,32.12571444,32.50714302,31.17142868,32.91317127,32.92604451,32.93536106,32.93569625,32.9360128,32.9427575,28.09428063,4.324714666,32.31162644,7.059418399,28.65036505,28.40530863,28.17464654,27.9417238,27.78550624,27.81501975,59.68794904,51.27574594,54.94101824,68.0839495,66.99568391,66.89986352,66.77613657,66.6688404,66.57870191,66.61207915
5,Tamil Nadu,28-07-2010 00:00,32,2010,20,12.4917999,79.1096901,33.65142877,23.15571431,0,25.40753937,65.86577715,23.15571431,21.12285723,22.38857106,22.65571458,20.38285664,23.01761604,23.01032254,23.00159892,22.99330819,22.99042378,0,0,0,0,0.966666667,6.491492537,6.492180451,6.48,6.398931298,6.351230769,33.65142877,30.59000015,32.12571444,32.50714302,31.17142868,32.92604451,32.93536106,32.93569625,32.9360128,32.9427575,25.40753937,28.09428063,4.324714666,32.31162644,7.059418399,28.40530863,28.17464654,27.9417238,27.78550624,27.81501975,65.86577715,59.68794904,51.27574594,54.94101824,68.0839495,66.89986352,66.77613657,66.6688404,66.57870191,66.61207915
6,Tamil Nadu,10-08-2010 00:00,33,2010,22,10.5488795,79.639015,34.80999974,25.99999973,5.15,31.14064941,91.68065425,25.99999973,23.15571431,21.12285723,22.38857106,22.65571458,20.38285664,23.01032254,23.00159892,22.99330819,22.99042378,5.15,0,0,0,0,0.966666667,6.492180451,6.48,6.398931298,6.351230769,34.80999974,33.65142877,30.59000015,32.12571444,32.50714302,31.17142868,32.93536106,32.93569625,32.9360128,32.9427575,31.14064941,25.40753937,28.09428063,4.324714666,32.31162644,7.059418399,28.17464654,27.9417238,27.78550624,27.81501975,91.68065425,65.86577715,59.68794904,51.27574594,54.94101824,68.0839495,66.77613657,66.6688404,66.57870191,66.61207915
7,Tamil Nadu,10-08-2010 00:00,34,2010,158,11.9768427,79.5392686,31.69857134,25.23000009,1,68.67943725,91.39729963,25.23000009,25.99999973,23.15571431,21.12285723,22.38857106,22.65571458,20.38285664,23.00159892,22.99330819,22.99042378,1,5.15,0,0,0,0,0.966666667,6.48,6.398931298,6.351230769,31.69857134,34.80999974,33.65142877,30.59000015,32.12571444,32.50714302,31.17142868,32.93569625,32.9360128,32.9427575,68.67943725,31.14064941,25.40753937,28.09428063,4.324714666,32.31162644,7.059418399,27.9417238,27.78550624,27.81501975,91.39729963,91.68065425,65.86577715,59.68794904,51.27574594,54.94101824,68.0839495,66.6688404,66.57870191,66.61207915
8,Tamil Nadu,09-09-2010 00:00,38,2010,18,11.6571547,77.7655229,29.97428594,20.53714262,10.25,34.71813698,75.01026698,20.53714262,25.23000009,25.99999973,23.15571431,21.12285723,22.38857106,22.65571458,20.38285664,22.99330819,22.99042378,10.25,1,5.15,0,0,0,0,0.966666667,6.398931298,6.351230769,29.97428594,31.69857134,34.80999974,33.65142877,30.59000015,32.12571444,32.50714302,31.17142868,32.9360128,32.9427575,34.71813698,68.67943725,31.14064941,25.40753937,28.09428063,4.324714666,32.31162644,7.059418399,27.78550624,27.81501975,75.01026698,91.39729963,91.68065425,65.86577715,59.68794904,51.27574594,54.94101824,68.0839495,66.57870191,66.61207915
9,Tamil Nadu,25-10-2010 00:00,44,2010,68,11.9931218,79.5173907,30.91857147,24.2671427,0.2,69.43997955,87.87861088,24.2671427,20.53714262,25.23000009,25.99999973,23.15571431,21.12285723,22.38857106,22.65571458,20.38285664,22.99042378,0.2,10.25,1,5.15,0,0,0,0,0.966666667,6.351230769,30.91857147,29.97428594,31.69857134,34.80999974,33.65142877,30.59000015,32.12571444,32.50714302,31.17142868,32.9427575,69.43997955,34.71813698,68.67943725,31.14064941,25.40753937,28.09428063,4.324714666,32.31162644,7.059418399,27.81501975,87.87861088,75.01026698,91.39729963,91.68065425,65.86577715,59.68794904,51.27574594,54.94101824,68.0839495,66.61207915
10,Tamil Nadu,29-10-2010 00:00,51,2010,30,13.168056,77.222222,27.52999987,14.58142894,13.46666667,41.46902784,73.57817078,14.58142894,24.2671427,20.53714262,25.23000009,25.99999973,23.15571431,21.12285723,22.38857106,22.65571458,20.38285664,13.46666667,0.2,10.25,1,5.15,0,0,0,0,0.966666667,27.52999987,30.91857147,29.97428594,31.69857134,34.80999974,33.65142877,30.59000015,32.12571444,32.50714302,31.17142868,41.46902784,69.43997955,34.71813698,68.67943725,31.14064941,25.40753937,28.09428063,4.324714666,32.31162644,7.059418399,73.57817078,87.87861088,75.01026698,91.39729963,91.68065425,65.86577715,59.68794904,51.27574594,54.94101824,68.0839495
