,state,city,cases,st_date,lat,lon,maxt,mint,soil,rain,week,year,rh,mintl0,mintl1,mintl2,mintl3,mintl4,mintl5,mintl6,mintl7,mintl8,mintl9,rainl0,rainl1,rainl2,rainl3,rainl4,rainl5,rainl6,rainl7,rainl8,rainl9,maxtl0,maxtl1,maxtl2,maxtl3,maxtl4,maxtl5,maxtl6,maxtl7,maxtl8,maxtl9,soill0,soill1,soill2,soill3,soill4,soill5,soill6,soill7,soill8,soill9,rhl0,rhl1,rhl2,rhl3,rhl4,rhl5,rhl6,rhl7,rhl8,rhl9
1,West Bengal,Pachim Medinipir,7,30-08-2010 00:00,22.3149274,87.3105311,32.10571398,25.97571427,68.32284164,3.2,37,2010,85.020001,25.97571427,NA,23.83360751,23.83329845,23.83298481,23.81250602,23.8436849,23.84592061,23.83004432,23.81869301,3.2,8.757628205,8.758673139,8.808071896,8.757986799,8.734066667,8.734066667,8.677845118,8.677845118,8.677845118,32.10571398,32.13350972,32.12893679,32.11254242,32.10819089,32.09640767,32.10439354,32.11915626,32.09689246,32.0733301,68.32284164,53.97840486,54.26483442,54.2554213,54.17895464,54.148798,54.14127342,54.06740562,54.25784882,54.41514129,85.020001,80.01735329,79.95459909,79.89868529,79.8203136,79.76029392,79.85899488,79.83324622,79.94714929,80.09318903
2,West Bengal,Nadia,102,01-09-2010 00:00,23.2241491,88.5021177,31.79571424,25.34285709,65.17866612,12.14285714,38,2010,89.39401027,25.34285709,25.97571427,23.83360751,23.83329845,23.83298481,23.81250602,23.8436849,23.84592061,23.83004432,23.81869301,12.14285714,3.2,8.758673139,8.808071896,8.757986799,8.734066667,8.734066667,8.677845118,8.677845118,8.677845118,31.79571424,32.10571398,32.12893679,32.11254242,32.10819089,32.09640767,32.10439354,32.11915626,32.09689246,32.0733301,65.17866612,68.32284164,54.26483442,54.2554213,54.17895464,54.148798,54.14127342,54.06740562,54.25784882,54.41514129,89.39401027,85.020001,79.95459909,79.89868529,79.8203136,79.76029392,79.85899488,79.83324622,79.94714929,80.09318903
3,West Bengal,Pachim Medinipur,7,30-08-2010 00:00,22.3149274,87.3105311,31.26428604,25.5157141,92.21326828,13.65,38,2010,87.43995448,25.5157141,25.34285709,25.97571427,23.83329845,23.83298481,23.81250602,23.8436849,23.84592061,23.83004432,23.81869301,13.65,12.14285714,3.2,8.808071896,8.757986799,8.734066667,8.734066667,8.677845118,8.677845118,8.677845118,31.26428604,31.79571424,32.10571398,32.11254242,32.10819089,32.09640767,32.10439354,32.11915626,32.09689246,32.0733301,92.21326828,65.17866612,68.32284164,54.2554213,54.17895464,54.148798,54.14127342,54.06740562,54.25784882,54.41514129,87.43995448,89.39401027,85.020001,79.89868529,79.8203136,79.76029392,79.85899488,79.83324622,79.94714929,80.09318903
4,West Bengal,Nadia,24,21-09-2010 00:00,23.4709656,88.556531,33.61428506,25.30714253,54.07883072,6.275,39,2010,90.34949166,25.30714253,25.5157141,25.34285709,25.97571427,23.83298481,23.81250602,23.8436849,23.84592061,23.83004432,23.81869301,6.275,13.65,12.14285714,3.2,8.757986799,8.734066667,8.734066667,8.677845118,8.677845118,8.677845118,33.61428506,31.26428604,31.79571424,32.10571398,32.10819089,32.09640767,32.10439354,32.11915626,32.09689246,32.0733301,54.07883072,92.21326828,65.17866612,68.32284164,54.17895464,54.148798,54.14127342,54.06740562,54.25784882,54.41514129,90.34949166,87.43995448,89.39401027,85.020001,79.8203136,79.76029392,79.85899488,79.83324622,79.94714929,80.09318903
5,West Bengal,Nadia,131,01-09-2010 00:00,23.2241491,88.5021177,32.60714258,25.43714278,49.69234324,6.7,40,2010,82.42165266,25.43714278,25.30714253,25.5157141,25.34285709,25.97571427,23.81250602,23.8436849,23.84592061,23.83004432,23.81869301,6.7,6.275,13.65,12.14285714,3.2,8.734066667,8.734066667,8.677845118,8.677845118,8.677845118,32.60714258,33.61428506,31.26428604,31.79571424,32.10571398,32.09640767,32.10439354,32.11915626,32.09689246,32.0733301,49.69234324,54.07883072,92.21326828,65.17866612,68.32284164,54.148798,54.14127342,54.06740562,54.25784882,54.41514129,82.42165266,90.34949166,87.43995448,89.39401027,85.020001,79.76029392,79.85899488,79.83324622,79.94714929,80.09318903
6,West Bengal,North 24 Parganas,279,30-10-2010 00:00,22.6832639,88.811292,31.52999987,21.68714278,24.41995557,0,45,2010,62.50704084,21.68714278,25.43714278,25.30714253,25.5157141,25.34285709,25.97571427,23.8436849,23.84592061,23.83004432,23.81869301,0,6.7,6.275,13.65,12.14285714,3.2,8.734066667,8.677845118,8.677845118,8.677845118,31.52999987,32.60714258,33.61428506,31.26428604,31.79571424,32.10571398,32.10439354,32.11915626,32.09689246,32.0733301,24.41995557,49.69234324,54.07883072,92.21326828,65.17866612,68.32284164,54.14127342,54.06740562,54.25784882,54.41514129,62.50704084,82.42165266,90.34949166,87.43995448,89.39401027,85.020001,79.85899488,79.83324622,79.94714929,80.09318903
7,West Bengal,Bankura,6,21-11-2010 00:00,23.2561375,87.0186406,28.87285696,17.15857165,31.91076151,0,48,2010,61.17435183,17.15857165,21.68714278,25.43714278,25.30714253,25.5157141,25.34285709,25.97571427,23.84592061,23.83004432,23.81869301,0,0,6.7,6.275,13.65,12.14285714,3.2,8.677845118,8.677845118,8.677845118,28.87285696,31.52999987,32.60714258,33.61428506,31.26428604,31.79571424,32.10571398,32.11915626,32.09689246,32.0733301,31.91076151,24.41995557,49.69234324,54.07883072,92.21326828,65.17866612,68.32284164,54.06740562,54.25784882,54.41514129,61.17435183,62.50704084,82.42165266,90.34949166,87.43995448,89.39401027,85.020001,79.83324622,79.94714929,80.09318903
8,West  Bengal,North 24 Parganas,1155,09-09-2010 00:00,22.6168099,88.402895,25.79142843,16.01000037,39.66199811,7.05,50,2010,62.73559788,16.01000037,17.15857165,21.68714278,25.43714278,25.30714253,25.5157141,25.34285709,25.97571427,23.83004432,23.81869301,7.05,0,0,6.7,6.275,13.65,12.14285714,3.2,8.677845118,8.677845118,25.79142843,28.87285696,31.52999987,32.60714258,33.61428506,31.26428604,31.79571424,32.10571398,32.09689246,32.0733301,39.66199811,31.91076151,24.41995557,49.69234324,54.07883072,92.21326828,65.17866612,68.32284164,54.25784882,54.41514129,62.73559788,61.17435183,62.50704084,82.42165266,90.34949166,87.43995448,89.39401027,85.020001,79.94714929,80.09318903
9,West Bengal,Burdwan,50,18-12-2010 00:00,23.2276061,88.3263603,25.09571402,10.93857166,64.55898476,0,51,2010,59.41894368,10.93857166,16.01000037,17.15857165,21.68714278,25.43714278,25.30714253,25.5157141,25.34285709,25.97571427,23.81869301,0,7.05,0,0,6.7,6.275,13.65,12.14285714,3.2,8.677845118,25.09571402,25.79142843,28.87285696,31.52999987,32.60714258,33.61428506,31.26428604,31.79571424,32.10571398,32.0733301,64.55898476,39.66199811,31.91076151,24.41995557,49.69234324,54.07883072,92.21326828,65.17866612,68.32284164,54.41514129,59.41894368,62.73559788,61.17435183,62.50704084,82.42165266,90.34949166,87.43995448,89.39401027,85.020001,80.09318903
10,West  Bengal,Birbhum,16,01-03-2011 00:00,24.1490772,87.8474389,33.61285727,18.13571412,7.155826092,0.1,10,2011,38.76124137,18.13571412,10.93857166,16.01000037,17.15857165,21.68714278,25.43714278,25.30714253,25.5157141,25.34285709,25.97571427,0.1,0,7.05,0,0,6.7,6.275,13.65,12.14285714,3.2,33.61285727,25.09571402,25.79142843,28.87285696,31.52999987,32.60714258,33.61428506,31.26428604,31.79571424,32.10571398,7.155826092,64.55898476,39.66199811,31.91076151,24.41995557,49.69234324,54.07883072,92.21326828,65.17866612,68.32284164,38.76124137,59.41894368,62.73559788,61.17435183,62.50704084,82.42165266,90.34949166,87.43995448,89.39401027,85.020001
